month,region,revenue,orders,target
2024-01-01,North,120000,667,120000
2024-01-01,South,102125,511,95000
2024-01-01,East,158187,719,140000
2024-01-01,West,92000,383,80000
2024-02-01,North,131580,731,122160
2024-02-01,South,109488,547,96710
2024-02-01,East,164220,746,142520
2024-02-01,West,92200,384,81440
2024-03-01,North,141012,783,124320
2024-03-01,South,113620,568,98420
2024-03-01,East,164514,748,145040
2024-03-01,West,89440,373,82880
2024-04-01,North,146280,813,126480
2024-04-01,South,113781,569,100130
2024-04-01,East,159530,725,147560
2024-04-01,West,84800,353,84320
2024-05-01,North,146436,814,128640
2024-05-01,South,110295,551,101840
2024-05-01,East,151200,687,150080
2024-05-01,West,79920,333,85760
2024-06-01,North,141900,788,130800
2024-06-01,South,104500,523,103550
2024-06-01,East,142450,648,152600
2024-06-01,West,76568,319,87200
2024-07-01,North,134400,747,132960
2024-07-01,South,98420,492,105260
2024-07-01,East,136431,620,155120
2024-07-01,West,76160,317,88640
2024-08-01,North,126540,703,135120
2024-08-01,South,94231,471,106970
2024-08-01,East,135660,617,157640
2024-08-01,West,79353,331,90080
2024-09-01,North,121117,673,137280
2024-09-01,South,93670,468,108680
2024-09-01,East,141304,642,160160
2024-09-01,West,85840,358,91520
2024-10-01,North,120360,669,139440
2024-10-01,South,97538,488,110390
2024-10-01,East,152810,695,162680
2024-10-01,West,94400,393,92960
2024-11-01,North,125294,696,141600
2024-11-01,South,105450,527,112100
2024-11-01,East,168000,764,165200
2024-11-01,West,103200,430,94400
2024-12-01,North,135420,752,143760
2024-12-01,South,115900,580,113810
2024-12-01,East,183610,835,167720
2024-12-01,West,110279,459,95840
